Date;Open;High;Low;Close;Adj close;Volume
Mar 08, 2024;5164.46;5189.26;5117.50;5123.69;5123.69;4208870000
Mar 07, 2024;5132.38;5165.62;5128.21;5157.36;5157.36;4137980000
Mar 06, 2024;5108.03;5127.97;5092.22;5104.76;5104.76;4559050000
Mar 05, 2024;5110.52;5114.54;5056.82;5078.65;5078.65;4418410000
Mar 04, 2024;5130.99;5149.67;5127.18;5130.95;5130.95;4758440000
Mar 01, 2024;5098.51;5140.33;5094.16;5137.08;5137.08;4748110000
Feb 29, 2024;5085.36;5104.99;5061.89;5096.27;5096.27;5219740000
Feb 28, 2024;5067.20;5077.37;5058.35;5069.76;5069.76;3789370000
Feb 27, 2024;5074.60;5080.69;5057.29;5078.18;5078.18;3925950000
Feb 26, 2024;5093.00;5097.66;5068.91;5069.53;5069.53;3683930000
Feb 23, 2024;5100.92;5111.06;5081.46;5088.80;5088.80;3672790000
Feb 22, 2024;5038.83;5094.39;5038.83;5087.03;5087.03;4051710000
Feb 21, 2024;4963.03;4983.21;4946.00;4981.80;4981.80;3788390000
Feb 20, 2024;4989.32;4993.71;4955.02;4975.51;4975.51;4034880000
Feb 16, 2024;5031.13;5038.70;4999.52;5005.57;5005.57;3833270000
Feb 15, 2024;5003.14;5032.72;4999.44;5029.73;5029.73;4137970000
Feb 14, 2024;4976.44;5002.52;4956.45;5000.62;5000.62;3845600000
Feb 13, 2024;4967.94;4971.30;4920.31;4953.17;4953.17;4302190000
Feb 12, 2024;5026.83;5048.39;5016.83;5021.84;5021.84;3805740000
Feb 09, 2024;5004.17;5030.06;5000.34;5026.61;5026.61;3912990000
Feb 08, 2024;4995.16;5000.40;4987.09;4997.91;4997.91;4341860000
Feb 07, 2024;4973.05;4999.89;4969.05;4995.06;4995.06;4895590000
Feb 06, 2024;4950.16;4957.77;4934.88;4954.23;4954.23;4440880000
Feb 05, 2024;4957.19;4957.19;4918.09;4942.81;4942.81;4023640000
Feb 02, 2024;4916.06;4975.29;4907.99;4958.61;4958.61;3974350000
Feb 01, 2024;4861.11;4906.97;4853.52;4906.19;4906.19;4386090000
Jan 31, 2024;4899.19;4906.75;4845.15;4845.65;4845.65;4696120000
Jan 30, 2024;4925.89;4931.09;4916.27;4924.97;4924.97;3836130000
Jan 29, 2024;4892.95;4929.31;4887.40;4927.93;4927.93;3525160000
Jan 26, 2024;4888.91;4906.69;4881.47;4890.97;4890.97;3353400000
Jan 25, 2024;4886.66;4898.15;4869.34;4894.16;4894.16;4020430000
Jan 24, 2024;4888.56;4903.68;4865.94;4868.55;4868.55;4330030000
Jan 23, 2024;4856.80;4866.48;4844.37;4864.60;4864.60;3912800000
Jan 22, 2024;4853.42;4868.41;4844.05;4850.43;4850.43;4297610000
Jan 19, 2024;4796.28;4842.07;4785.87;4839.81;4839.81;4287200000
Jan 18, 2024;4760.10;4785.79;4740.57;4780.94;4780.94;4019000000
Jan 17, 2024;4739.13;4744.23;4714.82;4739.21;4739.21;3928600000
Jan 16, 2024;4772.35;4782.34;4747.12;4765.98;4765.98;4260550000
Jan 12, 2024;4791.18;4802.40;4768.98;4783.83;4783.83;3486340000
Jan 11, 2024;4792.13;4798.50;4739.58;4780.24;4780.24;3759890000
Jan 10, 2024;4759.94;4790.80;4756.20;4783.45;4783.45;3498680000
Jan 09, 2024;4741.93;4765.47;4730.35;4756.50;4756.50;3529960000
Jan 08, 2024;4703.70;4764.54;4699.82;4763.54;4763.54;3742320000
Jan 05, 2024;4690.57;4721.49;4682.11;4697.24;4697.24;3844370000
Jan 04, 2024;4697.42;4726.78;4687.53;4688.68;4688.68;3715480000
Jan 03, 2024;4725.07;4729.29;4699.71;4704.81;4704.81;3950760000
Jan 02, 2024;4745.20;4754.33;4722.67;4742.83;4742.83;3743050000
